#SAMPLE	SMILES
SJ000257478-1	CCNc1cc(C)nc(Nc2ccc(NC(=O)c3ccc(OC)cc3)cc2)n1
SJ000257478-1	CCc1ccc(S(=O)(=O)Nc2ccc(Nc3nc(C)cc(N4CCCC4)n3)cc2)cc1
SJ000257478-1	COc1ccccc1C1CC(=O)C2=C(C1)NC(C)=C(C(=O)OC(C)C)C2c1ccc(Cl)cc1
SJ000257478-1	Cc1cc(Nc2ccccc2)nc(N)n1
SJ000257478-1	CCOc1ccc(NC(=O)C2c3cc(OC)c(OC)cc3C(=O)N(C)C2c2ccc(OC)cc2)cc1
SJ000257478-1	CCN(CC)c1cc(C)c2cc(NC(=O)c3ccc(F)cc3)ccc2n1
SJ000257478-1	CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc32)CC1
SJ000257478-1	COc1ccc(OC)c2sc(N(Cc3cccnc3)C(=O)c3cccc(F)c3)nc21
SJ000257478-1	CCOC(=O)c1ccc2nc(C)cc(Nc3ccc(N(C)C)cc3)c2c1
SJ000257478-1	CCN(CC)c1sc(S(=O)(=O)CC)nc1S(=O)(=O)c1ccc(C)cc1
SJ000257478-1	Cc1cc(NC(=O)COc2ccc(C)cc2)n(-c2nc(C)cc(O)n2)n1
SJ000257478-1	CCCn1c2ccccc2n(CC(O)c2ccc(Cl)cc2)c1=N
SJ000257478-1	Cc1ccc(Cn2cnc3c(cnn3-c3ccccc3)c2=O)cc1
SJ000257478-1	CCOc1ccc(-c2nonc2NC(=O)c2ccc(C)cc2)cc1OCC
SJ000257478-1	COc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1
SJ000257478-1	O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccc(Cl)c(Cl)c1
SJ000257478-1	CCN(CC)CCCNC(=O)C1CCN(c2nc3c(cc(C)cc3C)s2)CC1
SJ000257478-1	Oc1ccc(Cl)cc1Nc1ncnc2ccc(Br)cc21
SJ000257478-1	Cc1c(C)n(CC(O)CNC2CCCCC2C)c2ccccc12
SJ000257478-1	CCN(CC)CCNC(=O)c1ccc2c(c1)sc1nc(-c3ccc(C)cc3)cn21
SJ000257478-1	Cc1cc2sc(NNC(=O)c3ccc(S(=O)(=O)N(C)C)cc3)nc2c(C)c1
SJ000257478-1	Nc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(N)cc6)nc5c4)ccc3[nH]2)cc1
SJ000257478-1	CN(C)CCCNCc1ccc2[nH]c3c(c2c1)CCCC3
SJ000257478-1	CCC(C)c1ccc(NC(=O)c2cc(Br)ccc2OC)c(O)c1
SJ000257478-1	CCCOc1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1
SJ000257478-1	CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(O)cc3)c(=O)n2C1c1ccc(OC)c(OCC)c1
SJ000257478-1	CCOc1ccc(CCNC(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1OC
SJ000257478-1	CCCc1cc(=O)oc2c(C)c3c(cc12)CN(Cc1ccc(F)cc1)CO3
SJ000257478-1	COc1cccc(Nc2nc(N3CCN(C)CC3)nc3c2cnn3-c2ccccc2)c1
SJ000257478-1	Cc1ccc([N+](=O)[O-])cc1NC(=O)c1cc2ccccc2cc1O
SJ000257478-1	CCCCCC(O)(c1ccccc1)C(CN1CCOCC1)c1ccccc1
SJ000257478-1	O=C(CN(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccccc1)N1CCN(c2ccccc2F)CC1
SJ000257478-1	Cc1cccc(CN2c3ccccc3S/C(=C/c3ccc(C(=O)NC4CCCC4)cc3)C2=O)c1
SJ000257478-1	CCCN1CCN(CCCNC(=O)c2cc3c(-c4ccc(OC)c(OC)c4)nn(C)c3s2)CC1
SJ000257478-1	CCCCOc1ccc(-c2[nH]ncc2Oc2ccccc2)c(O)c1
SJ000257478-1	CCCCOC(=O)c1c(N)n(-c2ccccc2OC)c2nc3ccccc3nc21
SJ000257478-1	Cn1c2ccccc2[n+](C)c1-c1ccccc1[N+](=O)[O-]
SJ000257478-1	Oc1cccc2ccc[n+](CC(O)Cn3c4ccccc4c4ccccc43)c12
SJ000257478-1	COc1cccc(C(=O)NC(NC(=S)Nc2ccccc2Cl)C(Cl)(Cl)Cl)c1
SJ000257478-1	CCC(=O)C1=C(c2ccc(OC)c(OC)c2)N(C(=O)CC)n2cnnc2S1
SJ000257478-1	O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c([N+](=O)[O-])c1
SJ000257478-1	COc1cccc(NC(=O)Cn2c(C)c(C(=O)C(F)(F)F)c3ccccc32)c1
SJ000257478-1	CCOC(=O)N1CCC(NC(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1
SJ000257478-1	C=CCN1C(=O)c2[nH]nc(-c3c(C)cc(C)cc3O)c2C1c1cccc(OC)c1
SJ000257478-1	C[n+]1c(C=C2C=CN(C)C=C2)sc2ccccc21
SJ000257478-1	COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O
SJ000257478-1	CC(C)(C)C(=O)Cn1ccc(=N)c2ccccc21
SJ000257478-1	CCc1cccc2c(C#N)cn(CCOc3ccccc3Cl)c21
