#Identifier	SMILES	Max_Rank	Max_Probability
46347892	Cc1ccc(cc1)C1C2=C(N=c3n1c(=O)/c(=C/C=C/c1ccccc1)/s3)c1c(CC2)cccc1	4545200	1.00000
32499777	Cc1ccc(cc1)Nc1nc(Nc2ccc(cc2)NS(=O)(=O)c2cccc(c2)F)cc(n1)C	4545199	1.00000
45944591	COc1ccc(c(c1)C1C2=C(N=c3n1c(=O)/c(=C/C=C/c1ccccc1)/s3)c1c(CC2)cccc1)OC	4545199	1.00000
32499771	Cc1cc(Nc2ccc(cc2)NS(=O)(=O)c2ccc(cc2)F)nc(n1)Nc1ccc(cc1)C	4545198	1.00000
4425665	N#CC(=c1ccc2=NC3(N(c2c1)C(=CC(C3)c1ccccc1)c1ccccc1)c1ccccc1)C#N	4545198	1.00000
25783462	COc1cc2c(cc1OC)CC(N/C/2=N\NC(=O)N)(C)C	4545194	0.99997
44757296	Oc1ccc2c(c1)oc1c2nc2c(c1c1cc3cccc4c3n(c1=O)CCC4)c(=O)[nH]n2C1CCCCC1	4545193	0.99997
44206055	Oc1ccc2c(c1)oc1c2nc2c(c1c1cc3cccc4c3n(c1=O)CCC4)c(=O)[nH]n2C1CCCCCCC1	4545192	0.99997
32499257	O=C(C(C)C)Nc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C	4545191	1.00000
44205915	Oc1ccc2c(c1)oc1c2nc2c(c1c1cc3cccc4c3n(c1=O)CCC4)c(=O)[nH]n2C1CCCCCC1	4545191	0.99997
31198252	Cc1ccc(cc1Cl)Nc1nc(N)c2c(n1)cccc2	4545184	1.00000
4481933	C1CCC(CC1)[Si](c1ccccc1)(C#CCN1CCCCC1)C#CCN1CCCCC1	4545184	0.99995
31196894	CCOc1ccc2c(c1)c(Nc1ccccc1)cc(n2)C	4545183	1.00000
8235649	Clc1ccc2c(c1)N(c1c(O2)nc2c(n1)cccc2)S(=O)(=O)c1ccccc1	4545183	0.99995
28315126	O=C(C1c2ccccc2C(=O)N(C1c1cccs1)C1CCCC1)Nc1ccccc1C	4545182	1.00000
15802777	Clc1ccc2c(c1)N(c1c(O2)nc2c(n1)cccc2)S(=O)(=O)c1ccc(cc1)C	4545177	0.99993
27183077	Cc1nc(Nc2ccc(cc2)NC(=O)C(C)(C)C)nc(c1)Nc1ccc(cc1)C	4545176	1.00000
2130502	Oc1ccc(cc1)C1NC(=O)NC2=Nc3c(SC(=C12)c1ccccc1)cccc3	4545176	0.99993
27183063	Cc1nc(Nc2ccc(cc2)NC(=O)C(C)(C)C)nc(c1)Nc1ccccc1	4545174	1.00000
8234355	[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N1c2ccccc2Oc2c1nc1ccccc1n2	4545174	0.99993
27183059	CCCC(=O)Nc1ccc(cc1)Nc1nc(C)cc(n1)Nc1ccccc1	4545173	1.00000
15802775	Clc1ccc2c(c1)N(c1c(O2)nc2c(n1)cccc2)S(=O)(=O)c1ccc(cc1)F	4545173	0.99992
2967594	O=C(c1cc2ccccc2cc1O)NN=C1c2ccccc2CCc2c1cccc2	4545172	0.99992
8235645	Clc1ccc(cc1)S(=O)(=O)N1c2ccccc2Oc2c1nc1ccccc1n2	4545169	0.99992
2907690	O=P1(NCc2ccco2)C=C(OC(=C1)c1ccccc1)c1ccccc1	4545161	0.99987
32370833	Cc1cccn2c1ncc2Cn1cnc(c1c1[nH]ccn1)c1ccccc1	4545160	0.99986
8235655	Cc1ccc2c(c1)Oc1c(N2S(=O)(=O)c2ccc(cc2)Cl)nc2c(n1)cccc2	4545157	0.99985
27023243	CCn1ccs/c/1=C/C=C/c1sc2c([n+]1CC)ccc1c2cccc1	4545154	0.99984
22735107	COc1ccccc1C(=O)N(c1nc2c(s1)cccc2F)Cc1cccnc1	4545152	1.00000
6740890	O=C1C=C(C[C@@H]([C@H]1n1nnc2c1cccc2)c1ccccc1)c1ccccc1	4545152	0.99983
2122635	O=C1C=C(CC(C1n1nnc2c1cccc2)c1ccccc1)c1ccccc1	4545151	0.99983
22719025	Cc1nc(Nc2ccc(cc2)NS(=O)(=O)c2cccc(c2)Cl)nc(c1)Nc1ccc(cc1)C	4545142	1.00000
24842843	CN(CCn1c(=N)n(c2c1cccc2)CC(c1ccc(c(c1)Cl)Cl)O)C	4545141	1.00000
22719021	Cc1nc(Nc2ccc(cc2)NS(=O)(=O)c2cccc(c2)F)nc(c1)Nc1ccc(cc1)C	4545141	1.00000
22718989	Cc1nc(Nc2ccc(cc2)NS(=O)(=O)c2ccc(cc2)F)nc(c1)Nc1ccc(cc1)C	4545140	1.00000
46468145	COc1c(ccc(c1OC)OC)C1N=C(N)NC2=Nc3c(C12)cccc3	4545139	0.99976
43355413	COC(C(Cl)(Cl)Cl)(c1ccccc1)NC(=O)OC	4545137	0.99975
17418798	C=CCn1ccc(=Cc2ccc3c([n+]2CC)cc(cc3)C)cc1	4545132	0.99975
32436997	CCn1ccc(n1)c1c(ncn1C(c1nccn1C)C1CC1)c1ccccc1	4545130	0.99974
17418756	C=CCn1ccc(=Cc2ccc3c([n+]2CC)ccc(c3)C)cc1	4545124	1.00000
8196665	COc1cc(C)c(c(c1C(C)C)C)C(=S=O)S(=O)(=O)c1ccc2c(c1)cccc2	4545122	0.99969
44756862	COc1ccc2c(c1)n(C)c(=O)c(c2)c1c2oc3c(c2nc2c1c(=O)[nH]n2C1CCCC1)ccc(c3)O	4545119	0.99967
45940498	Oc1ccccc1/C=c/1\sc2=NC3=C(C(n2c1=O)c1ccccc1)CCc1c3cccc1	4545118	0.99966
4729501	COc1cc(ccc1OC)c1cnoc1c1ccc(cc1O)OCc1ccc(cc1Cl)F	4545113	0.99963
4446598	CCOC(=O)c1cccc(c1)OP(=O)(c1ccccc1)c1ccccc1	4545110	0.99963
22718525	Cc1nc(Nc2ccc(cc2)NC(=O)c2ccccc2C(F)(F)F)nc(c1)N1CCCC1	4545109	1.00000
22718295	COc1ccc(cc1)Nc1nc(Nc2ccc(cc2)NC(=O)C(C)(C)C)nc(c1)C	4545109	1.00000
46367338	Cc1ccc(cc1)C1C2=C(N=c3n1c(=O)/c(=C/c1ccccc1O)/s3)c1c(CC2)cccc1	4545101	0.99958
44759100	COc1ccc2c(c1)n(C)c(=O)c(c2)c1c2c(=O)[nH]n(c2nc2c1oc1c2ccc(c1)O)C1CCCCC1	4545099	0.99955
44212935	COc1ccc2c(c1)n(C)c(=O)c(c2)c1c2c(=O)[nH]n(c2nc2c1oc1c2ccc(c1)O)C1CCCCCCC1	4545098	0.99955
17447603	N#Cc1cccc(c1)NC(=O)C1c2ccccc2C(=O)N(C1c1cccs1)CC(C)C	4545091	1.00000
16165823	CC(=O)c1cccc(c1)NC(=O)C1c2ccccc2C(=O)N(C1c1cccs1)C1CCCC1	4545087	1.00000
16165813	Clc1ccc(cc1)NC(=O)C1c2ccccc2C(=O)N(C1c1cccs1)C1CCCC1	4545086	1.00000
16165767	CCc1cccc(c1)NC(=O)C1c2ccccc2C(=O)N(C1c1cccs1)C1CCCC1	4545085	1.00000
16165531	COc1ccc(cc1)NC(=O)C1c2ccccc2C(=O)N(C1c1cccs1)CC(C)C	4545084	1.00000
43419696	Oc1ccccc1Oc1cnn(c1c1ccccc1)c1ccccc1	4545083	0.99946
46040778	Clc1noc(c1)CCc1ncnn1C1Cc2c(C1)cccc2	4545082	0.99945
16078920	CCS(=O)(=O)c1sc(c(n1)S(=O)(=O)c1ccc(cc1)Cl)N1CCCCC1	4545076	1.00000
16078918	CCS(=O)(=O)c1sc(c(n1)S(=O)(=O)c1ccc(cc1)Cl)N1CCCCCC1	4545075	1.00000
16078346	Cc1ccc(cc1C)n1ncc2c1ncn(c2=O)Cc1ccc(cc1)C(F)(F)F	4545074	1.00000
5453058	Cc1cc(C)c2c(c1)sc(n2)NNC(=O)c1ccc(cc1)S(=O)(=O)N(C)C	4545063	1.00000
17418796	C=CCn1ccc(=Cc2cc(C)c3c([n+]2CC)cccc3)cc1	4545063	0.99936
5452666	O=C(c1ccc(cc1)S(=O)(=O)N(C)C)NNc1sc2c(n1)c(C)ccc2	4545062	1.00000
