#SAMPLE	SMILES	Max_Rank	Max_Probability
SJ000550923-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccccc3)C2)C1c1cc(Cl)c(O)c(OC)c1	1056	1.00000
SJ000550375-1	CCOc1cc(C2C(C(=O)OCC(C)C)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1056	1.00000
SJ000550782-1	CC[n+]1c(/C=C2\C=Cc3cc(C)ccc3N2CC)sc2ccc(O)cc21	1056	0.99990
SJ000551649-1	CN1CCN(Cc2c(O)ccc3c(=O)c(Oc4ccc5ccccc5c4)c(C(F)(F)F)oc32)CC1	1055	1.00000
SJ000550704-1	OC(CNC1CC1)Cn1c2ccccc2c2ccccc21	1055	1.00000
SJ000550778-1	CC[n+]1c(/C=C/N2CCCc3ccccc32)sc2cc(C)c(C)cc21	1055	0.98294
SJ000550864-1	OC(CNC1CCCCC1)Cn1c2ccccc2c2ccccc21	1054	1.00000
SJ000550373-1	CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1054	0.99000
SJ000550651-1	CC[n+]1c(/C=C/N(C)c2ccccc2)sc2ccc(Cl)cc21	1054	0.96925
SJ000550391-1	CCOc1cc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)cc(Cl)c1O	1053	1.00000
SJ000550949-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccccc2)cc1OC	1053	0.99667
SJ000550861-1	OC(Cn1c2ccccc2c2ccccc21)CN1CCN(C2c3ccccc3-c3ccccc32)CC1	1053	0.92082
SJ000550392-1	CCOc1cc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)cc(Cl)c1O	1052	1.00000
SJ000550953-1	COc1cc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(O)cc2)ccc1OC(C)C	1052	0.99000
SJ000551007-1	Cc1cc(C)n(-c2nc(C)cc(Nc3cccc(C(F)(F)F)c3)n2)n1	1052	0.85393
SJ000550383-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OC)cc1	1051	1.00000
SJ000551671-1	CCOc1ccccc1Oc1c(=O)c2ccc(O)c(CN3CCCCCC3)c2oc1C(F)(F)F	1051	0.99000
SJ000550753-1	CCN1c2ccccc2S/C1=C/C=C(C)/C=C/c1sc2ccccc2[n+]1CC	1051	0.88000
SJ000550849-1	OC(CN(C1CCCCC1)C1CCCCC1)Cn1c2ccccc2c2ccccc21	1050	1.00000
SJ000550762-1	CCN1c2ccccc2S/C1=C\c1sc2ccccc2[n+]1CC	1050	0.97000
SJ000551284-1	CC1CCCC(C)N1CC(O)Cn1c2ccccc2c2ccccc21	1049	1.00000
SJ000550955-1	COc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccccc2)C3)cc1OC	1049	0.99667
SJ000550468-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)c1cccc2ccccc21	1049	0.86000
SJ000550873-1	CC(C)(C)NCC(O)Cn1c2ccccc2c2ccccc21	1048	1.00000
SJ000550462-1	N=c1n(CCN2CCCC2)c2ccccc2n1CC(O)c1ccc(Cl)c(Cl)c1	1048	0.99000
SJ000551227-1	O=C(Nc1cc(Cl)ccc1O)c1cnn2c1NC(c1ccc(Br)cc1)CC2C(F)(F)F	1048	0.79731
SJ000551642-1	Cc1ccc(C)c(Oc2c(=O)c3ccc(O)c(CN4CCN(C)CC4)c3oc2C(F)(F)F)c1	1047	0.99000
SJ000550933-1	Cc1ccc(-c2cc(O)n(-c3nc(C)cc(C)n3)n2)cc1	1047	0.77721
SJ000550950-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(Cl)cc2Cl)cc1OC	1046	0.98000
SJ000550863-1	OC(CNCCc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	1046	0.97000
SJ000550954-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(C)cc2)C3)ccc1O	1044	0.99667
SJ000551643-1	O=c1c2ccc(O)c(CN3CCCCC3)c2oc(C(F)(F)F)c1Oc1ccccc1Cl	1044	0.96000
SJ000551107-1	CCOc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)cc(Cl)c1O	1043	0.98000
SJ000550964-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2c(F)cccc2Cl)cc1OC	1043	0.93000
SJ000551645-1	Cc1cccc(Oc2c(=O)c3ccc(O)c(CN4CCN(C)CC4)c3oc2C(F)(F)F)c1	1042	0.99000
SJ000551106-1	CCOc1cc(C2CC(=O)NC3=C2C(=O)CC(c2cc(OC)ccc2OC)C3)cc(Br)c1O	1042	0.96000
SJ000550388-1	CCOc1cc(C2C(C(=O)OCCOC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1041	0.98000
SJ000550764-1	CC(=C\c1sc2ccccc2[n+]1CCO)/C=C1\Sc2ccccc2N1CCO	1041	0.83000
SJ000551646-1	Cc1cc(C)cc(Oc2c(=O)c3ccc(O)c(CN4CCOCC4)c3oc2C(F)(F)F)c1	1040	0.96000
SJ000551680-1	Cc1cc(C)cc(Oc2c(=O)c3ccc(O)c(CN4CC(C)OC(C)C4)c3oc2C(F)(F)F)c1	1040	0.95000
SJ000550866-1	OC(Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21)CN1CCN(Cc2ccccc2)CC1	1039	0.98000
SJ000550858-1	CN(C)CC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1038	0.99000
SJ000550958-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccccc2)C3)cc(OC)c1O	1038	0.95000
SJ000550779-1	CC[n+]1c(/C=C(\C)Nc2ccccc2)sc2ccccc21	1038	0.90000
SJ000550857-1	CCN(CC)CC(O)Cn1c2ccccc2c2ccccc21	1037	0.99000
SJ000550872-1	CN1CCN(CC(O)Cn2c3ccccc3c3cc(Cl)ccc32)CC1	1036	0.98667
SJ000550370-1	CCOc1cc(C2C(C(=O)OCCOC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)ccc1O	1036	0.96000
SJ000550752-1	CCC(=C\c1sc2ccc(OC)cc2[n+]1CCO)/C=C1\Sc2ccc(OC)cc2N1CCO	1036	0.82000
SJ000550948-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)cc1OC	1035	0.94667
SJ000550490-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OCC)cc1	1034	0.98000
SJ000551677-1	Cc1cccc(Oc2c(=O)c3ccc(O)c(CN4CC(C)OC(C)C4)c3oc2C(F)(F)F)c1	1034	0.95000
SJ000551679-1	O=c1c2ccc(O)c(CN3CCCCC3)c2oc(C(F)(F)F)c1Oc1ccccc1	1033	0.98000
SJ000551641-1	Cc1ccc(C)c(Oc2c(=O)c3ccc(O)c(CN4CCOCC4)c3oc2C(F)(F)F)c1	1033	0.95000
SJ000550951-1	COc1ccc(OC)c(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(Cl)cc2Cl)c1	1033	0.93000
SJ000551644-1	CCN1CCN(Cc2c(O)ccc3c(=O)c(Oc4ccccc4Br)c(C(F)(F)F)oc32)CC1	1032	0.95000
SJ000551681-1	O=c1c2ccc(O)c(CN3CCCC3)c2oc(C(F)(F)F)c1Oc1ccc2ccccc2c1	1031	0.98000
SJ000550464-1	CC(C)(C)C(O)Cn1c2ccccc2n(CCN2CCCCC2)c1=N	1031	0.92000
SJ000550731-1	Oc1ccc(Br)cc1CN1CCN(CC2CC3C=CC2C3)CC1	1030	0.85000
SJ000550469-1	CCCCn1c2ccccc2n(CC(O)COc2ccc(Cl)cc2)c1=N	1029	0.98000
SJ000550815-1	CN(C)CCCn1c2ccccc2n(CC(O)c2ccc(Br)cc2)c1=N	1029	0.95000
SJ000550465-1	CCCCn1c2ccccc2n(CC(O)c2ccc(OC)cc2)c1=N	1029	0.94000
SJ000550867-1	OC(CNCc1ccccc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1027	0.98000
SJ000550489-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cc(OC)c(OC)c(OC)c1	1027	0.97000
SJ000551647-1	Cc1cccc(Oc2c(=O)c3ccc(O)c(CN4CCC(C)CC4)c3oc2C(F)(F)F)c1	1027	0.96000
SJ000550850-1	OC(Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21)CN1CCCCCC1	1026	0.98000
SJ000550461-1	Cc1ccccc1Cn1c2ccccc2n(CC(O)c2ccc(Cl)c(Cl)c2)c1=N	1026	0.82000
SJ000550869-1	OC(CN1CCCC1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1025	0.98000
SJ000550851-1	OC(Cn1c2ccccc2c2ccccc21)CN1CCCCCC1	1025	0.98000
SJ000551105-1	COc1ccc(OC)c(C2CC(=O)C3=C(C2)NC(=O)CC3c2cccc(Cl)c2Cl)c1	1025	0.91000
SJ000550718-1	Oc1ccc(Br)cc1CN1CCN(c2cccc(Cl)c2)CC1	1024	0.98000
SJ000551651-1	COc1ccc(Oc2c(=O)c3ccc(O)c(CN4CCCCCC4)c3oc2C(F)(F)F)cc1	1024	0.93000
SJ000551670-1	Cc1cccc(Oc2c(=O)c3ccc(O)c(CN4CCCC4)c3oc2C(F)(F)F)c1	1023	0.97000
SJ000550679-1	OCCCNCC(O)Cn1c2ccccc2c2ccccc21	1022	0.98000
SJ000498746-2	OCCN1CCN(C2CCN(Cc3cc(Br)ccc3O)CC2)CC1	1022	0.87000
SJ000550715-1	Oc1ccc(Br)cc1CN1CCN(c2ccc(Cl)cc2)CC1	1021	0.97000
SJ000550813-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccc(Cl)cc1Cl	1020	0.95000
SJ000550379-1	COCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(O)c(OC)c1	1019	0.97000
SJ000550994-1	Cc1nn(-c2nc(C)cc(C)n2)c(O)c1Cc1ccccc1Cl	1019	0.61000
SJ000550390-1	CCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OCCC)cc1	1018	0.97000
SJ000551683-1	CCc1ccc(Oc2c(=O)c3ccc(O)c(CN4CC(C)OC(C)C4)c3oc2C(F)(F)F)cc1	1017	0.97000
SJ000550947-1	COc1ccc(OC)c(C2CC(=O)NC3=C2C(=O)CC(c2ccc(F)cc2)C3)c1	1017	0.93000
SJ000550395-1	COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cccc(O)c1	1015	0.97000
SJ000551682-1	CC1CN(Cc2c(O)ccc3c(=O)c(Oc4ccc5ccccc5c4)c(C(F)(F)F)oc32)CC(C)O1	1015	0.96000
SJ000550959-1	CCOc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)cc1	1015	0.94667
SJ000550378-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1cc(Br)c(O)c(OC)c1	1014	0.93000
SJ000550870-1	OC(Cn1c2ccccc2c2cc(Cl)ccc21)CN1CCCCC1	1013	0.97000
SJ000550733-1	Oc1ccc(Br)cc1CN1CCN(C2CCCCCC2)CC1	1013	0.92000
SJ000550682-1	CC1CCN(CC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)CC1	1012	0.97000
SJ000288308-3	Nc1ccc(-c2nc3cc(-c4nc5cc(N)ccc5[nH]4)ccc3[nH]2)cc1	1012	0.92000
SJ000550377-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1cccc(F)c1	1010	0.96000
SJ000550956-1	COc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c(OC)c1	1010	0.92000
